show_id,type,title,country,release_year,description,
80046728,Movie,Moonwalkers,"France, Belgium",2015,"A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.",
80046727,Movie,Rolling Papers,"United States, Uruguay",2015,"As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture.",
70304988,Movie,Stonehearst Asylum,United States,2014,"In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.",
80057700,Movie,The Runner,United States,2015,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,
80045922,Movie,6 Years,United States,2015,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",
80244601,TV Show,Castle of Stars,,2015,"As four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life.",
80203094,Movie,City of Joy,"United States,",2018,"Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment.",
80190843,TV Show,First and Last,,2018,Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.,
70241607,Movie,Laddaland,Thailand,2011,"When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity.",
80988892,Movie,Next Gen,"China, Canada, United States",2018,"When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.",
80239639,Movie,Sierra Burgess Is A Loser,United States,2018,A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.,
80159586,Movie,The Most Assassinated Woman in the World,"Belgium, United Kingdom, United States",2018,"In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past.",
80152447,Movie,Cézanne et moi,"Belgium, France",2016,"This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys.",
80221550,TV Show,Archibald's Next Big Thing,,2019,"Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!",
81154455,Movie,Article 15,India,2019,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.,
81113928,Movie,Care of Kancharapalem,,2018,"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.",
81052275,Movie,Ee Nagaraniki Emaindi,India,2018,"In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.",
81132437,Movie,Kill Me If You Dare,,2019,"Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part.",
80178151,TV Show,,France,2019,"In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad.",
80058026,Movie,,United States,2015,"When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld.",
70303496,Movie,,India,2014,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,
80162141,Movie,,United Kingdom,2015,A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.,
80095641,Movie,,United Kingdom,2015,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever.",
81176188,Movie,,,2019,Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.,
80159880,Movie,,"United States, Canada",2012,"When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.",
81016044,Movie,The Spy,Thailand,2009,"After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love.",
80158838,Movie,Hell and Back,Thailand,2014,"Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan.",
81016045,Movie,PK,Thailand,2016,"When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again.",
70142798,Movie,Hard Tide,Thailand,2009,"From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.",
70062814,Movie,Elstree 1976,Thailand,2004,"After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice.",
80158839,Movie,American Factory: A Conversation with the Obamas,Thailand,2011,"When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group.",
80147760,Movie,ATM,United States,2016,"A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date.",
80177405,Movie,Bangkok Traffic (Love) Story,United States,2017,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.",
80113482,TV Show,I Fine... Thank You... Love You,United States,2016,"Her straitjacketed life turned topsy-turvy by hunky Xavier, Evie discovers a new freedom – even though her man just might be an end-of-days crackpot.",
81160036,Movie,One Day,Pakistan,2016,"Outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. Based on a true story.",
81173255,Movie,Phobia 2,Canada,2017,A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.,
81078908,Movie,Shutter,United States,2019,"A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test.",
81155784,Movie,Suckseed,India,2019,"Rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard – or the trouble inside.",
80201906,Movie,Carrie Pilby,United States,2018,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",
80052612,Movie,Marc Maron: Too Real,"United Kingdom, France",2015,"A single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date.",
80113641,TV Show,Frequency,United States,2016,"A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp.",
81054495,Movie,Mo Gilligan: Momentum,United Kingdom,2019,"Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club.",
80996949,TV Show,Adam Ruins Everything,United States,2018,"Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.",
80239337,TV Show,Ben 10,United States,2016,Ben can transform into ten types of aliens. He'll try 'em all while adventuring across the country with his cousin Gwen and Grandpa Max.,
70212504,Movie,Big Miracle,"United States, United Kingdom",2012,"After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events.",
81011682,TV Show,Christiane Amanpour: Sex & Love Around the World,United States,2018,"A contextual, acculturated dive into how adults in six, big global cities celebrate love and accentuate sex. CNN's Christiane Amanpour reports.",
80128317,TV Show,The Eighties,United States,2016,"This nostalgic documentary series relives the 1980s from a variety of angles, exploring its impact on the politics, technology and culture of today.",
81027384,TV Show,The Nineties,United States,2017,This U.S.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. Executive produced by Tom Hanks.,
80030186,TV Show,The Seventies,United States,2015,"This series examines 1970s America, focusing on the major political and historical landmarks of the decade and the cultural response to those events.",
80116921,TV Show,We Bare Bears,United States,2017,"Grizzly, Panda and Ice Bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized, modern human world.",
80187061,Movie,The Mayor,South Korea,2017,"With the presidency in mind, the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden.",
80181555,TV Show,The Royal House of Windsor,United Kingdom,2017,"Drawing on newly available info, this show traces how the British royal family has survived the last 100 years of power struggles, politics and more.",
80081155,Movie,Amanda Knox,"Denmark, United States",2016,She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary.,
80184358,TV Show,Lovesick,,2014,Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.,
80198585,Movie,The Debt Collector,"United Kingdom, United States",2018,"A broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection.",
70233894,Movie,Act of Vengeance,"Turkey, United States",2010,"Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as ""Dejjal"" (Arabic for Antichrist).",
81011955,Movie,Paradise Lost,Brazil,2018,"A cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there.",
80128722,Movie,Gerald's Game,United States,2017,"When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice.",
80182115,Movie,Long Shot,United States,2017,"When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary.",
80163293,TV Show,Mak Cun,,2015,A woman with an entrepreneurial spirit takes life into her own hands by starting a beauty cream business that inspires other women to take chances.,
80104068,Movie,Our Souls at Night,United States,2017,"After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom.",
80119349,Movie,Out of Thin Air,,2017,"Picking up 40 years after six were convicted for two strange murders in Iceland, this chilling documentary proves confessions can’t always be trusted.",
80199032,TV Show,Paul Hollywood's Big Continental Road Trip,United Kingdom,2017,"Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany.",
80180449,TV Show,Satu Hari,,2014,"A man haunted by his wife's affair moves to Sarajevo and starts to love again, until fate forces him to choose between his new life and old loyalty.",
80019931,Movie,"Monster High: Boo York, Boo York",United States,2015,Cleo is invited to a gala in the big city celebrating a magical comet and brings her best friends along. But the sinister Nefera has other plans.,
81053893,Movie,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,,2019,An in-depth look at the full-cycle breeding program for bluefin Kindai tuna pioneered by Kinki University’s Aqua Culture Research Institute.,
80200087,Movie,Domino,"Denmark, France, Italy, Belgium, Netherlands",2019,"A Copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage.",
81053892,Movie,TUNA GIRL,,2019,A clumsy but cheerful fisheries student struggles to find her place at a research institute renowned for its tuna cultivation. The work isn't easy.,
81002850,Movie,5CM,Indonesia,2012,"Five friends embark on a mission to climb the highest peak in Java, overcoming obstacles on the way and discovering the true meaning of friendship.",
81004470,Movie,Animal World,China,2018,"An unlucky, debt-ridden teen resorts to his math skills when he's forced into a deadly tournament of rock-paper-scissors run by a diabolical host.",
80157072,Movie,Hold the Dark,United States,2018,"In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery.",
81001809,Movie,Lessons from a School Shooting: Notes from Dunblane,United States,2018,"Two priests – one from Dunblane, Scotland, the other from Newtown, Connecticut – bond over school tragedies that occurred 16 years apart.",
80201933,TV Show,Made in Mexico,United States,2018,"These Mexico City socialites may lead opulent lives, but a peek behind the curtain reveals a tangled web of intrigue, envy and personal struggles.",
81002864,Movie,Single,Indonesia,2015,"Unemployed and immature, a somewhat pathetic bachelor sets his sights on finding a date for the wedding of his younger, more successful brother.",
81016750,Movie,The 3rd Eye,Indonesia,2018,"When her little sister claims she sees the dead, Alia consults a psychic, who opens her own eyes to the vengeful ghosts haunting their childhood home.",
81002866,Movie,The Sinking Of Van Der Wijck,Indonesia,2013,"When a young man leaves home to fulfill the wishes of his late father, he meets and falls in love with a woman from a very different background.",
80992039,Movie,Two Catalonias,Spain,2018,Lawmakers and activists with conflicting ideologies speak about the complexities of Catalonia's politics and the fight for its independence from Spain.,
80126507,Movie,Bobby Sands: 66 Days,"Ireland, United Kingdom",2016,"In 1981, an imprisoned Irish Republican Army soldier went on a hunger strike that galvanized his movement and made him a controversial global icon.",
80225885,TV Show,Bard of Blood,India,2019,"Years after a disastrous job in Balochistan, a former Indian spy must confront his past when he returns to lead an unsanctioned hostage-rescue mission.",
81132443,Movie,Deliha 2,Turkey,2018,"While chasing her dream of becoming a chef, Zeliha cooks up trouble in the kitchen with her wild, kooky and unsuspecting ways.",
80218107,TV Show,Dragons: Rescue Riders,,2019,"Twins Dak and Leyla and their dragon friends devote their lives to rescuing others, defending their home of Huttsgalor and having fun along the way.",
80231903,Movie,In the Shadow of the Moon,United States,2019,A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation.,
80220715,TV Show,Skylines,,2019,A hip-hop producer gets hurled into the violent world of organized crime when the record label he signs to becomes the center of a deadly drug business.,
81171121,Movie,Sturgill Simpson Presents Sound & Fury,United States,2019,"In this anime visual album, a mysterious driver heads deep into a postapocalyptic hellscape toward a ferocious showdown with two monstrous opponents.",
80241248,TV Show,The Politician,United States,2019,Rich kid Payton has always known he's going to be president. But first he has to navigate the most treacherous political landscape of all: high school.,
81012295,Movie,Weeds on Fire,Hong Kong,2016,"In 1980s Hong Kong, a school principal forms a baseball team with an eclectic crew of local students who soon fight their way to the top of the league.",
80060037,Movie,Much Loved,"France, Morocco",2015,Four friends who make their living as prostitutes in Morocco deal with both the dangers and stigma that come with their profession.,
60003155,Movie,Joseph: King of Dreams,United States,2000,"With his gift of dream interpretation and his brilliantly colored coat, Joseph inspires jealousy in his brothers in this animated Bible story.",
81177238,Movie,Malaal,India,2019,"Class divides become thorns in the budding romance between the crony of a nativist Mumbai politician and the new, North Indian resident of his chawl.",
70270775,Movie,The Grandmaster,"Hong Kong, China",2013,"As the Japanese invasion looms, Chinese kung fu master Ip Man's world changes when rival master Gong Er and her father arrive in his village.",
81025403,TV Show,The Inmate,Mexico,2018,A former Marine poses as an inmate inside a Mexican prison in order to infiltrate a gang suspected of kidnapping a U.S. judge's teen daughter.,
80215923,Movie,The Hurricane Heist,United States,2018,A deadly hurricane with mile-high waves provides the perfect cover for stealing $600 million from a U.S. Treasury outpost in Mississippi.,
80151483,Movie,Def Comedy Jam 25,United States,2017,"In this special live event, giants of stand-up come together to commemorate the 25th anniversary of Russell Simmons's groundbreaking ""Def Comedy Jam.""",
80173625,Movie,Restless Creature: Wendy Whelan,United States,2016,"After 30 years with the New York City Ballet, celebrated dancer Wendy Whelan redefines herself as an artist in a new stage of life.",
80005444,Movie,Print the Legend,United States,2014,"This award-winning, original documentary chronicles the race for market leadership in 3D printing, the next wave of technological evolution.",
80244682,Movie,Birders,"United States, Mexico",2019,Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful species.,
81075519,Movie,Furie,Vietnam,2019,"When traffickers kidnap her daughter from their village, vengeful Hai Phuong returns to Saigon – and her outlaw roots – to take down the abductors.",
80166318,Movie,Leap!,"France, Canada",2016,"Félicie and Victor, two young friends in 1880s France, escape from an orphanage to pursue their dreams in Paris, the glittering City of Lights.",
81186758,Movie,Oh! Baby (Malayalam),India,2019,A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.,
81186757,Movie,Oh! Baby (Tamil),India,2019,A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.,
80108976,Movie,USS Indianapolis: Men of Courage,United States,2016,"After becoming stranded in the Philippine Sea during World War II, a tenacious Navy crew faces a dire lack of supplies and a string of shark attacks.",
80208155,Movie,A Wrinkle in Time,United States,2018,"Years after their father disappears, Meg and her younger brother Charles Wallace cross galaxies on a quest to save him from the heart of darkness.",
80198423,Movie,Teach Us All,United States,2017,"It's been decades since Brown v. Board of Education, yet American schools remain largely segregated. Some leaders are working to change that.",
80162144,Movie,White Island,United Kingdom,2016,"Returning to Ibiza after several years walking the straight and narrow in London, Connor falls back in with a criminal crowd. It's like he never left.",
81053953,Movie,Inside Man: Most Wanted,United States,2019,A hotshot NYPD negotiator butts heads with the FBI and meets his match in a meticulous criminal mastermind as she attempts to rob the Federal Reserve.,
81074113,Movie,Jeff Dunham: Beside Himself,United States,2019,"Jeff Dunham takes the stage in Dallas with his old pals Peanut, Walter, José Jalapeño, Bubba J and Achmed to poke fun at himself and American culture.",
80992496,Movie,China Salesman,China,2017,A Chinese engineer travels to a war-torn African country to rebuild its telecommunications but instead finds massive corruption and explosive danger.,
70304191,Movie,Swearnet: The Movie,Canada,2014,"After losing a TV network deal, the Trailer Park Boys launch their own Internet series, but they soon confront personal and creative differences.",
80103311,Movie,The Bar,"Spain, Argentina",2017,Strangers holed up in a Madrid bar after witnessing a murder begin to turn on each other as panic sets in and the body count rises.,
81176200,Movie,Manmadhudu 2,India,2019,"Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancée, but her bond with his family throws his plan for a loop.",
80238106,TV Show,Team Kaylie,,2019,"After a brush with the law, teen celebrity Kaylie Konrad swaps social stardom for court-ordered chaos as a middle school wilderness club leader.",
80208906,Movie,Under the Eiffel Tower,United States,2018,An American man in the midst of a mid-life crisis travels to the French countryside to find a new lease on life.,
80097321,Movie,Audrie & Daisy,United States,2016,"In this wrenching documentary, two teens are sexually assaulted by boys they considered friends, humiliated online and harassed by their communities.",
80106966,Movie,Iliza Shlesinger: Confirmed Kills,United States,2016,"The stand-up sensation tackles TV's ""Shark Tank,"" what it means to be a woman and how to deal with the lawless party goblin that lives in us all.",
81004814,TV Show,BONDING,United States,2019,A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,
81080769,Movie,Do Paise Ki Dhoop Chaar Aane Ki Baarish,India,2009,"When a sex worker hires a gay songwriter to care for her disabled son, the ensuing bonds that form offer a complex portrayal of love and family.",
70267838,Movie,20 Feet From Stardom,United States,2013,"Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support.",
80211380,Movie,In Darkness,"United Kingdom, United States",2018,"A blind pianist fears for her life after the suspicious death of her neighbor, the daughter of a businessman accused of war crimes.",
80196586,Movie,Gaga: Five Foot Two,United States,2017,"Follow pop provocateur Lady Gaga as she releases a new album, preps for her Super Bowl halftime show, and confronts physical and emotional struggles.",
80099204,Movie,The Bad Batch,United States,2016,"Banished to a wasteland of undesirables, a young woman struggles to find her feet among a drug-soaked desert society and an enclave of cannibals.",
80059432,Movie,SMOSH: The Movie,United States,2015,"To keep his teen crush from spotting him in an embarrassing YouTube video, Anthony and his friend Ian must enter the virtual world and alter the clip.",
81172721,Movie,King of Boys,Nigeria,2018,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",
81172727,Movie,Merry Men: The Real Yoruba Demons,Nigeria,2018,"Four of the richest bachelors in Abuja, Nigeria enjoy a life of fast cars, palatial homes and female attention while concealing their true activities.",
70153543,Movie,Sarah's Key,France,2010,"Paris, 1942: To protect her brother from the police arresting Jewish families, a young girl hides him away, promising to come back for him.",
81172728,Movie,The Wedding Party 2: Destination Dubai,Nigeria,2017,"In this sequel to the 2016 hit ""The Wedding Party,"" a couple's date night ends in an accidental proposal, sparking a series of chaotic family events.",
81095101,TV Show,Vagabond,South Korea,2019,"When his nephew dies in a plane crash, stunt man Cha Dal-geon resolves to find out what happened, with the help of covert operative Go Hae-ri.",
80195173,TV Show,Battlefish,,2018,"Over the course of a fishing season, tough men and women pursue lucrative albacore tuna in the competitive waters off the Oregon coast.",
80241960,TV Show,DRAGON PILOT: Hisone & Masotan,Japan,2018,Recently stationed Air Self-Defense Force rookie Hisone Amakasu is chosen by a dragon concealed within Gifu Air Base to be his pilot.,
80115346,TV Show,Hilda,"United Kingdom, Canada, United States",2018,"Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city.",
80124522,TV Show,Maniac,United States,2018,Two struggling strangers connect during a mind-bending pharmaceutical trial involving a doctor with mother issues and an emotionally complex computer.,
80102952,Movie,Quincy,United States,2018,"This documentary profiles music and culture icon Quincy Jones, offering unprecedented access to his private life and stories from his unparalleled career.",
80214464,Movie,Rafinha Bastos: Ultimatum,Brazil,2018,"An off-color joke nearly cost him everything. Brazilian comic Rafinha Bastos talks about that and much more, from his divorce to finding love again.",
80157073,TV Show,The Good Cop,United States,2018,"When he's not solving murders, a pathologically honest detective tries to keep an eye on his crooked but kindhearted dad.",
80243600,Movie,Between Two Ferns: The Movie,United States,2019,"Armed with awkward questions and zero self-awareness, Zach Galifianakis hits the road to find famous interview subjects for his no-budget talk show.",
81020513,TV Show,Criminal: France,,2019,"Secrets emerge and entire cases unravel inside a police interview room in Paris, where suspects and investigators face off in an intricate dance.",
81020518,TV Show,Criminal: Germany,,2019,"In the interview room, detectives go head-to-head with suspects and try to get to the truth – even if it means breaking the rules and risking it all.",
81020523,TV Show,Criminal: Spain,,2019,"Psychological games abound between detectives and suspects in a tense interrogation room, where the search for answers sometimes comes at a moral cost.",
80216172,TV Show,Criminal: UK,"United Kingdom, France, Germany, Spain",2019,"Within the walls of an interrogation room and with time running out, London investigators go after three suspects, each accused of a grievous crime.",
81122669,Movie,Daddy Issues,United States,2019,"Maya finally hooks up with her online dream girl, only to discover she’s deeply involved with an older sugar daddy – a man Maya knows all too well.",
80184771,TV Show,Inside Bill's Brain: Decoding Bill Gates,United States,2019,Take a trip inside the mind of Bill Gates as the billionaire opens up about those who influenced him and the audacious goals he's still pursuing.,
81000389,TV Show,The Hockey Girls,Spain,2019,"The passionate members of a girls' roller hockey team chase down victories in the rink while striving to make time for school, family and romance.",
81132439,Movie,Travel Mates 2,Turkey,2018,"When struggling singer Onur decides to return to his old job, incurable klutz Şeref organizes a surprise tour full of pitfalls and mishaps.",
81035117,Movie,True: Tricky Treat Day,Canada,2019,It's up to True and her friends to save the day when a hungry Yeti sneaks a forbidden treat and fills the kingdom with Howling Greenies.,
80244627,TV Show,Two Sentence Horror Stories,United States,2019,This anthology series of terror features diverse characters facing primal fears in spine-chilling situations that stretch past daily routine.,
80150502,Movie,Mad World,Hong Kong,2016,"A stockbroker struggling with bipolar disorder goes to live with his estranged father in a cramped flat, where old resentments bubble to the surface.",
80189183,TV Show,Mobile Suit Gundam UC,Japan,2014,"When Banagher Links meets the mysterious Audrey Burne, he inherits the Unicorn Gundam and is swept up into the battle for space colony independence.",
80997866,Movie,The Bund,Hong Kong,1983,"After losing everything, a young man rebuilds his life and finds love in 1920s Shanghai – all while rising to power in an organized crime syndicate.",
80119815,Movie,The First Line,"United States, Greece, United Kingdom",2014,Two determined Athenian attorneys spearhead a lawsuit against the British Museum for the return of the Parthenon Marbles to Greece.,
80993149,Movie,Maynard,United States,2017,"Friends, family and political titans recall the impact of Atlanta's Maynard Jackson, the first African-American mayor of a major Southern city.",
80224294,TV Show,Monkey Twins,Thailand,2018,"Inspired by Khon dance drama and Thai martial arts, a fighter scarred by the past joins forces with a determined cop to battle an organized crime ring.",
80203776,Movie,Bitcoin Heist,Vietnam,2016,"A unconventional, efficient Interpol special agent goes rogue and assembles a team of thieves to catch a shadowy hacker called ""The Ghost.""",
80143797,Movie,I Am Not Madame Bovary,China,2016,"To qualify for an apartment reserved for singles, a married couple stages a divorce. But when her husband unexpectedly remarries, Li seeks justice.",
80161931,Movie,Vincent N Roxxy,United States,2016,"In rural Louisiana, a terse loner forges a redemptive bond with a woman he saved from a killer, but a violent past soon catches up with both of them.",
80128096,TV Show,Chef's Table: France,,2016,Sample the bold new flavors of France with chefs who are pushing the boundaries of fine dining and reinventing a rich culinary tradition.,
80057610,TV Show,Kulipari: An Army of Frogs,United States,2016,"In a tale of bravery and heroism, fearless frogs go to war against the sinister scorpions and spiders that have teamed up to conquer the amphibians.",
80017275,Movie,Miss Julie,"Norway, United Kingdom, France, Ireland",2014,"On a summer night in 1890 Ireland, the unsettled daughter of aristocrats coaxes her father's valet to seduce her, though he's engaged to their cook.",
81107545,Movie,Kabir Singh,India,2019,"An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends.",
70118953,Movie,Océans,"France, Switzerland, Spain, United States, United Arab Emirates",2009,This documentary examines the vital role water plays in human existence and the cause-and-effect interplay between oceans and the environment.,
80190449,Movie,The Endless,United States,2017,"As kids, they escaped a UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began.",
70259208,TV Show,Transformers: Rescue Bots,"Canada, United States",2016,"Follow the adventure of four young transformers, Heatwave, Chase, Blades and Boulder, and their human counterparts: a family of emergency responders.",
80163156,Movie,Jerry Before Seinfeld,United States,2017,"Jerry Seinfeld returns to the club that gave him his start in the 1970s, mixing iconic jokes with stories from his childhood and early days in comedy.",
